dataset_id1,dataset_id2,intersection_count
polygon-3-1211-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,polygon-2-2821-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,911
arb-43-59-0x887a5c67d4dd51965845c1b668c1faa183739ad0,op-26-54-0x8c128f336b479b142429a5f351af225457a987fa,1
op-1-1174-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,arb-1-1584-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,1123
op-1-1174-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,op-2-1422-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,1107
