dataset_id1,dataset_id2,intersection_count
arb-6-488-0x8e2c205ef5335d3f8b05ba81ebf9b1148d89dab6,arb-9-288-0x4cc2d9fa9b45b9f81140a2d269f48da27d413629,287
bsc-1-127-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,op-1-1174-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,1
bsc-1-127-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,arb-1-1584-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,2
bsc-1-127-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,polygon-2-2821-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,117
