dataset_id1,dataset_id2,intersection_count
op-43-49-0x1706dc8fe5b1402a8b120df2d593b15011c9379e,fantom-34-49-0x9e62b4c385ae4a07d1768a049c173f090df37182,48
polygon-3-1211-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,op-1-1174-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,1089
polygon-3-1211-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,arb-1-1584-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,1134
polygon-3-1211-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,op-2-1422-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,1210
