dataset_id1,dataset_id2,intersection_count
polygon-39-58-0x702b3101c34fe690fe94891a15cf2668b726013f,fantom-35-49-0x8bd3a5239524da1fbfe329c511a66390ce4a978c,41
fantom-4-237-0x023a9e71848964720aa938d50f1232d34f46b470,op-8-195-0xd2236f80c801c0b6474da0a923d9c0b124cea6e2,188
polygon-37-72-0x2c46af079cf42552339be6e6cc4e7c871ac49afa,arb-44-51-0x183bffe026d50515516a8f873162396068143425,2
arb-2-1009-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,bsc-1-127-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,1
