dataset_id1,dataset_id2,intersection_count
op-1-1174-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,polygon-2-2821-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,907
arb-1-1584-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,op-2-1422-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,1345
arb-1-1584-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,polygon-2-2821-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,1135
fantom-5-77-0x2148739259665739501911c145e4b2cad81e68e0,fantom-26-73-0x891644eefeed1c35d79b405c2d91cc7de9cfcf4a,26
fantom-5-77-0x2148739259665739501911c145e4b2cad81e68e0,bsc-3-75-0x9af3a07b91467e893591fc3eb0dced2b7ef66b0e,1
arb-18-104-0xadbeb90a678d97ac31df145509bf5a0508e85b41,arb-12-140-0x1337731dc6be067a823efc450b0fe659356068fa,1
op-6-208-0x8527f22aa38683f0966d2fdc7457f2e80fd59961,polygon-11-220-0x90569f7c6cce1df8f9af79d6cd27449104697562,26
op-2-1422-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,polygon-2-2821-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,1123
