dataset_id1,dataset_id2,intersection_count
arb-2-1009-0x568d6b6f45f034a6736abbf2f7c3cf15e36f7ae8,polygon-2-2821-0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,801
arb-10-199-0xba17eeb3f0413b76184ba8ed73067063fba6e2eb,op-12-110-0xba17eeb3f0413b76184ba8ed73067063fba6e2eb,15
arb-10-199-0xba17eeb3f0413b76184ba8ed73067063fba6e2eb,arb-43-59-0x887a5c67d4dd51965845c1b668c1faa183739ad0,1
arb-10-199-0xba17eeb3f0413b76184ba8ed73067063fba6e2eb,arb-12-140-0x1337731dc6be067a823efc450b0fe659356068fa,3
